Application Name,Environment
stash,https://stash.gdn-app.com/
jira,https://jira.gdn-app.com/
greythr,https://quinbay.greythr.com/
people_hum,https://portal.peoplehum.com/login/
confluence,https://confluence.gdn-app.com/
jenkins,https://jenkins-np-gcp.gdn-app.com/
artifactory,https://artifactory.gdn-app.com/artifactory/webapp/#/artifacts/browse/tree/General/libs-releases-local/com/gdn/ext/catalog/ext-catalog-ui/
consul_app,http://consulapp-01.dev1.lokal:8500/ui/dev1-cluster/kv/gdn_app_ext_catalog/app.properties/edit
rundeck_nonprod,https://nonprod-rundeck.gdn-app.com/
melbourne_qa1,http://melbourne-1.qa1-sg.cld:8080/
melbourne_qa2,http://melbourne-1.qa2-sg.cld:8090/
kibana_preprod_url,https://logging-preprod-gcp.gdn-app.com/
local_artifactory,https://artifactory.gdn-app.com/artifactory/libs-snapshots-local/
prod_db,https://prod-dbviewernew-gcp.gdn-app.com/query
req_form,https://forms.office.com/Pages/ResponsePage.aspx?id=_uLW8AXwRkCNwRZmi-HeUm9yGT717PhPjRrpyaVRvoxUNUgzRkpXV1pCMFdETkk0OUVFSTMyUUhURS4u
prod_GCP,https://console.cloud.google.com/kubernetes/deployment/asia-southeast1/gke-prod-sg/merchandising/ext-catalog/overview?authuser=0&project=gke-prod-98053
vienna_prod, https://chernobyl.gdn-app.com/project/359
newrlic_url,https://login.newrelic.com/
pager_url,https://blibli.pagerduty.com/sign_in
pristine_center_url,https://pristinecenter.gdn-app.com/ext-catalog-ui/#!/dashboard/stats
sonar_url,https://sonar.gdn-app.com/sessions/new
kibana_qa1_url,https://logging-qa1-gcp.gdn-app.com/login?nextUrl=%2Flogging
splunk_prod_url,https://splunksearch-prod-gcp.gdn-app.com/
figma_url,https://www.figma.com/
zookeeper_path,/Users/tushargupta/Downloads/kafka_2.12-2.7.0/bin/ nohup ./zookeeper-server-start.sh ../config/zookeeper.properties &
kafka_path,/Users/tushargupta/Downloads/kafka_2.12-2.7.0/bin/ nohup ./zookeeper-server-start.sh ../config/zookeeper.properties &
redis_path,/Users/tushargupta/Downloads/redis/6.0.6/bin/ nohup ./redis-server & | nohup ./redis-cli & | nohup ./redis-sentinel /Users/tushargupta/Desktop/sentinel.conf &
solr_path,/usr/local/Cellar/solr/8.8.1/libexec/ nohup ./solr start -cloud  &
tomcat_path,/Users/tushargupta/Downloads/apache-tomcat-8.5.31/bin/ nohup ./catalina.sh jpda start &
airflow_path,/Users/tushargupta/airflow nohup airflow webserver -p 8083 & | nohup airflow scheduler &
jmeter_path,nohup jmeter &
